auction_id,title,category,subcategory,emirate,listing_type,auction_status,start_time,end_time,duration_days,as_of_date,start_price,final_price,target_price,achievement_ratio,bids_count,num_bidders,views,price_uplift,profit_margin_proxy,engagement_score,bids_per_bidder,views_per_bid,make,vehicle_type,charity_flag,day_of_week,hour_of_day,month,auction_month_name,auction_quarter,bid_per_user,popularity_index,auction_popularity_score,price_segment,beneficiary,charity_revenue,revenue
AUC-11,Vehicles 4626,Vehicles,Car,Dubai,Auction,Closed,2025-09-20 13:00:00,2025-09-23 12:00:00,3.046,2025-11-08 12:00:00,27431.0,43221.79,35238.16,1.2266,87,29,1794,0.5756549159709817,15790.79,95.6,3.0,20.620689655172413,,Car,False,Saturday,13.0,9.0,September,3.0,3.0,21.85,13.11,Mid,,0.0,0.0
AUC-12,Vehicles 2862,Vehicles,Car,Fujairah,Auction,Closed,2025-10-21 18:00:00,2025-10-23 03:00:00,1.375,2025-11-08 12:00:00,65559.0,89834.35,83644.99,1.074,23,16,431,0.3702824936316906,24275.35,26.275,1.4375,18.73913043478261,,Car,False,Tuesday,18.0,10.0,October,4.0,1.4375,13.2,47.92,Mid,,0.0,89834.35
AUC-13,Vehicles 5003,Vehicles,Car,Abu Dhabi,BuyNow,Closed,2025-09-25 20:00:00,2025-09-26 03:00:00,0.292,2025-11-08 12:00:00,61825.0,115734.24,76491.07,1.513,52,17,552,0.8719650626769108,53909.24,44.05,3.0588235294117645,10.615384615384617,,Car,False,Thursday,20.0,9.0,September,3.0,3.0588235294117645,30.93,18.56,Mid,,0.0,0.0
AUC-14,Vehicles 2570,Vehicles,Car,Umm Al Quwain,Auction,Closed,2025-09-19 10:00:00,2025-09-19 14:00:00,0.167,2025-11-08 12:00:00,50420.0,100071.44,61097.19,1.6379,8,5,95,0.9847568425228084,49651.44,7.625,1.6,11.875,,Car,False,Friday,10.0,9.0,September,3.0,1.6,33.15,59.89,Mid,,0.0,100071.44
AUC-15,Vehicles 6303,Vehicles,Car,Ras Al Khaimah,Auction,Closed,2025-09-20 22:00:00,2025-09-23 12:00:00,2.583,2025-11-08 12:00:00,126626.0,191944.02,150376.52,1.2764,10,4,156,0.5158341888711638,65318.02,9.9,2.5,15.6,,Car,False,Saturday,22.0,9.0,September,3.0,2.5,17.51,50.51,High,,0.0,191944.02
AUC-16,Vehicles 9976,Vehicles,Car,Ras Al Khaimah,Auction,Closed,2025-09-20 22:00:00,2025-09-22 08:00:00,1.516,2025-11-08 12:00:00,12453.24,25267.97,14054.52,1.7979,68,34,1152,1.0290277871461564,12814.73,71.3,2.0,16.941176470588236,,Car,False,Saturday,22.0,9.0,September,3.0,2.0,36.54,61.92,Mid,,0.0,25267.97
AUC-17,Vehicles 5796,Vehicles,Car,Ras Al Khaimah,BuyNow,Closed,2025-09-14 04:00:00,2025-09-14 13:00:00,0.513,2025-11-08 12:00:00,194202.74,263983.91,236648.22,1.1155,86,33,1850,0.3593212433562986,69781.17,97.5,2.606060606060606,21.511627906976745,,Car,False,Sunday,4.0,9.0,September,3.0,2.606060606060606,15.02,9.01,High,,0.0,0.0
AUC-18,Vehicles 3691,Vehicles,Car,Ajman,Auction,Closed,2025-10-30 22:00:00,2025-11-02 10:00:00,2.5,2025-11-08 12:00:00,75399.0,149957.18,97253.25,1.5419,7,4,149,0.988848393214764,74558.18,8.225,1.75,21.285714285714285,,Car,False,Thursday,22.0,10.0,October,4.0,1.75,33.19,59.91,Mid,,0.0,149957.18
AUC-19,Vehicles 7191,Vehicles,Car,Ajman,Auction,Closed,2025-09-25 18:00:00,2025-09-27 09:00:00,1.625,2025-11-08 12:00:00,197200.0,387306.51,224009.92,1.729,48,19,1248,0.9640289553752536,190106.51,59.95,2.526315789473684,26.0,,Car,False,Thursday,18.0,9.0,September,3.0,2.526315789473684,33.72,60.23,High,,0.0,387306.51
AUC-20,Vehicles 8379,Vehicles,Car,Sharjah,BuyNow,Closed,2025-09-08 21:00:00,2025-09-10 00:00:00,1.125,2025-11-08 12:00:00,128360.0,279922.12,144034.45,1.9434,29,24,486,1.1807581801184168,151562.12,32.65,1.2083333333333333,16.75862068965517,,Car,False,Monday,21.0,9.0,September,3.0,1.2083333333333333,40.46,24.28,High,,0.0,0.0
AUC-21,Vehicles 5245,Vehicles,Car,Ras Al Khaimah,Auction,Closed,2025-10-02 06:00:00,2025-10-03 16:00:00,1.483,2025-11-08 12:00:00,136175.0,212133.1,157526.99,1.3466,62,30,1052,0.5577976868000735,75958.1,64.8,2.066666666666667,16.967741935483872,,Car,False,Thursday,6.0,10.0,October,4.0,2.066666666666667,20.48,52.29,High,,0.0,212133.1
AUC-22,Vehicles 3252,Vehicles,Car,Ajman,BuyNow,Closed,2025-10-24 04:00:00,2025-10-24 23:00:00,0.855,2025-11-08 12:00:00,133401.0,247276.49,146917.49,1.6831,62,20,1301,0.8536329562746905,113875.49,68.525,3.1,20.983870967741936,,Car,False,Friday,4.0,10.0,October,4.0,3.1,30.29,18.17,High,,0.0,0.0
AUC-23,Vehicles 7424,Vehicles,Car,Fujairah,Auction,Closed,2025-09-06 17:00:00,2025-09-09 12:00:00,2.908,2025-11-08 12:00:00,150375.0,284494.8,186651.55,1.5242,68,30,790,0.8919022443890273,134119.8,61.25,2.2666666666666666,11.617647058823527,,Car,False,Saturday,17.0,9.0,September,3.0,2.2666666666666666,31.87,59.12,High,,0.0,284494.8
AUC-24,Vehicles 2685,Vehicles,Car,Sharjah,Auction,Closed,2025-10-26 00:00:00,2025-10-28 09:00:00,2.375,2025-11-08 12:00:00,190721.0,242095.38,244531.64,0.99,12,5,261,0.2693692881224406,51374.38,13.775,2.4,21.75,,Car,False,Sunday,0.0,10.0,October,4.0,2.4,9.38,45.63,High,,0.0,242095.38
AUC-25,Vehicles 9974,Vehicles,Car,Fujairah,Auction,Closed,2025-10-17 16:00:00,2025-10-18 09:00:00,0.708,2025-11-08 12:00:00,152281.0,221022.04,190122.14,1.1625,3,1,34,0.4514091712032362,68741.04,2.6,3.0,11.333333333333334,,Car,False,Friday,16.0,10.0,October,4.0,3.0,15.14,49.08,High,,0.0,221022.04
AUC-26,Vehicles 3859,Vehicles,Car,Abu Dhabi,Auction,Closed,2025-10-25 11:00:00,2025-10-27 16:00:00,2.208,2025-11-08 12:00:00,161135.0,307800.04,197679.7,1.5571,35,16,635,0.9101997703788748,146665.04,37.375,2.1875,18.142857142857142,,Car,False,Saturday,11.0,10.0,October,4.0,2.1875,31.39,58.83,High,,0.0,307800.04
AUC-27,Vehicles 4152,Vehicles,Car,Fujairah,Auction,Closed,2025-10-10 12:00:00,2025-10-11 04:00:00,0.667,2025-11-08 12:00:00,83312.0,156100.46,95949.56,1.6269,32,10,866,0.8736851834069521,72788.46,40.15,3.2,27.0625,,Car,False,Friday,12.0,10.0,October,4.0,3.2,30.02,18.01,Mid,,0.0,0.0
AUC-28,Vehicles 7541,Vehicles,Car,Dubai,Auction,Closed,2025-10-11 03:00:00,2025-10-12 13:00:00,1.417,2025-11-08 12:00:00,23175.0,45348.77,29990.45,1.5121,55,26,566,0.9567969795037756,22173.77,48.15,2.1153846153846154,10.290909090909093,,Car,False,Saturday,3.0,10.0,October,4.0,2.1153846153846154,33.91,20.35,Mid,,0.0,0.0
AUC-29,Vehicles 1109,Vehicles,Car,Dubai,BuyNow,Closed,2025-10-06 19:00:00,2025-10-09 01:00:00,2.25,2025-11-08 12:00:00,168006.0,291564.16,197590.7,1.4756,40,12,439,0.7354389724176515,123558.16,33.975,3.333333333333333,10.975,,Car,False,Monday,19.0,10.0,October,4.0,3.333333333333333,25.96,15.58,High,,0.0,0.0
AUC-30,Vehicles 2825,Vehicles,Car,Sharjah,Auction,Closed,2025-09-13 06:00:00,2025-09-13 12:00:00,0.25,2025-11-08 12:00:00,120946.0,215377.44,152140.03,1.4157,45,14,501,0.780773568369355,94431.44,38.525,3.2142857142857144,11.133333333333333,,Car,False,Saturday,6.0,9.0,September,3.0,3.2142857142857144,27.66,16.6,High,,0.0,0.0
AUC-31,Vehicles 2130,Vehicles,Car,Ajman,Auction,Closed,2025-10-07 14:00:00,2025-10-09 19:00:00,2.208,2025-11-08 12:00:00,34870.0,72185.02,40861.93,1.7666,41,19,426,1.0701181531402353,37315.02,35.9,2.1578947368421053,10.390243902439025,,Car,False,Tuesday,14.0,10.0,October,4.0,2.1578947368421053,37.18,62.31,Mid,,0.0,72185.02
AUC-32,Vehicles 4519,Vehicles,Car,Umm Al Quwain,Auction,Closed,2025-10-06 21:00:00,2025-10-07 16:00:00,0.931,2025-11-08 12:00:00,126651.36,278495.07,141382.68,1.9698,67,33,1932,1.198911010509481,151843.71,90.05,2.0303030303030303,28.83582089552239,,Car,False,Monday,21.0,10.0,October,4.0,2.0303030303030303,41.94,65.16,High,,0.0,278495.07
AUC-33,Vehicles 5981,Vehicles,Car,Sharjah,Auction,Closed,2025-09-13 01:00:00,2025-09-15 04:00:00,2.125,2025-11-08 12:00:00,131489.0,192379.26,157257.02,1.2233,8,3,203,0.4630825392238135,60890.26,9.825,2.6666666666666665,25.375,,Car,False,Saturday,1.0,9.0,September,3.0,2.6666666666666665,15.66,49.4,High,,0.0,192379.26
AUC-34,Vehicles 2616,Vehicles,Car,Dubai,Auction,Closed,2025-09-17 18:00:00,2025-09-19 07:00:00,1.542,2025-11-08 12:00:00,153508.0,256504.57,184164.63,1.3928,56,19,1026,0.6709524585037914,102996.57,58.4,2.9473684210526314,18.321428571428573,,Car,False,Wednesday,18.0,9.0,September,3.0,2.9473684210526314,24.17,54.5,High,,0.0,256504.57
AUC-35,Vehicles 4097,Vehicles,Car,Sharjah,Auction,Closed,2025-10-23 08:00:00,2025-10-23 13:00:00,0.208,2025-11-08 12:00:00,146871.0,231060.04,162762.68,1.4196,23,14,360,0.573217585500201,84189.04,24.0,1.6428571428571428,15.652173913043478,,Car,False,Thursday,8.0,10.0,October,4.0,1.6428571428571428,19.9,51.94,High,,0.0,231060.04
AUC-36,Vehicles 7949,Vehicles,Car,Ajman,Auction,Closed,2025-11-04 21:00:00,2025-11-07 04:00:00,2.292,2025-11-08 12:00:00,79266.0,105645.87,88899.18,1.1884,4,2,49,0.3328018318068276,26379.87,3.725,2.0,12.25,,Car,False,Tuesday,21.0,11.0,November,4.0,2.0,11.24,46.74,Mid,,0.0,105645.87
AUC-37,Vehicles 9458,Vehicles,Car,Ajman,Auction,Closed,2025-09-30 06:00:00,2025-10-01 03:00:00,0.875,2025-11-08 12:00:00,54054.0,68254.97,62870.26,1.0856,43,28,841,0.2627182077182077,14200.97,49.525,1.5357142857142858,19.55813953488372,,Car,False,Tuesday,6.0,9.0,September,3.0,1.5357142857142858,10.12,46.07,Mid,,0.0,68254.97
AUC-38,Vehicles 1128,Vehicles,Car,Umm Al Quwain,Auction,Closed,2025-09-15 10:00:00,2025-09-18 06:00:00,2.893,2025-11-08 12:00:00,80260.0,97384.36,90223.8,1.0794,94,32,1070,0.2133610765013705,17124.36,81.75,2.9375,11.382978723404255,,Car,False,Monday,10.0,9.0,September,3.0,2.9375,10.58,46.35,Mid,,0.0,97384.36
AUC-39,Vehicles 6646,Vehicles,Car,Abu Dhabi,Auction,Closed,2025-10-02 20:00:00,2025-10-05 09:00:00,2.542,2025-11-08 12:00:00,129244.0,199823.43,166538.5,1.1999,17,6,309,0.5460944415214632,70579.43,17.725,2.833333333333333,18.176470588235293,,Car,False,Thursday,20.0,10.0,October,4.0,2.833333333333333,18.72,51.23,High,,0.0,199823.43
AUC-40,Vehicles 1231,Vehicles,Car,Umm Al Quwain,BuyNow,Closed,2025-10-25 15:00:00,2025-10-26 08:00:00,0.708,2025-11-08 12:00:00,120092.0,186619.32,148943.43,1.253,43,26,835,0.5539696232888119,66527.32,48.875,1.6538461538461535,19.41860465116279,,Car,False,Saturday,15.0,10.0,October,4.0,1.6538461538461535,19.98,51.99,High,,0.0,186619.32
AUC-41,Vehicles 5682,Vehicles,Car,Umm Al Quwain,Auction,Closed,2025-09-22 12:00:00,2025-09-24 08:00:00,1.833,2025-11-08 12:00:00,108479.0,220556.13,131620.18,1.6757,58,24,625,1.0331689082679598,112077.13,50.625,2.4166666666666665,10.775862068965518,,Car,False,Monday,12.0,9.0,September,3.0,2.4166666666666665,36.57,61.94,High,,0.0,220556.13
AUC-42,Vehicles 8914,Vehicles,Car,Fujairah,Auction,Closed,2025-09-27 00:00:00,2025-09-28 04:00:00,1.305,2025-11-08 12:00:00,207219.52,454024.07,265689.75,1.7089,71,24,1660,1.1910294454885333,246804.55,83.0,2.958333333333333,23.380281690140844,,Car,False,Saturday,0.0,9.0,September,3.0,2.958333333333333,42.0,25.2,High,,0.0,0.0
AUC-43,Vehicles 8181,Vehicles,Car,Ajman,Auction,Closed,2025-10-02 20:00:00,2025-10-04 16:00:00,1.833,2025-11-08 12:00:00,93088.0,188198.91,119572.43,1.5739,54,16,1034,1.0217311576143004,95110.91,56.85,3.375,19.14814814814815,,Car,False,Thursday,20.0,10.0,October,4.0,3.375,35.93,61.56,Mid,,0.0,188198.91
AUC-44,Vehicles 3094,Vehicles,Car,Fujairah,Auction,Closed,2025-09-15 19:00:00,2025-09-17 12:00:00,1.708,2025-11-08 12:00:00,153271.0,294245.4,173557.35,1.6954,18,11,384,0.9197721682510064,140974.4,21.35,1.6363636363636365,21.33333333333333,,Car,False,Monday,19.0,9.0,September,3.0,1.6363636363636365,31.33,58.8,High,,0.0,294245.4
AUC-45,Vehicles 3327,Vehicles,Car,Abu Dhabi,Auction,Closed,2025-09-19 14:00:00,2025-09-20 14:00:00,1.0,2025-11-08 12:00:00,156836.24,302819.72,186766.09,1.6214,6,3,61,0.9308019626076216,145983.48,5.275,2.0,10.166666666666666,,Car,False,Friday,14.0,9.0,September,3.0,2.0,31.25,58.75,High,,0.0,302819.72
AUC-46,Vehicles 8050,Vehicles,Car,Umm Al Quwain,BuyNow,Closed,2025-09-26 08:00:00,2025-09-28 08:00:00,2.0,2025-11-08 12:00:00,90955.0,146648.8,106719.83,1.3741,4,2,41,0.6123225770985651,55693.8,3.525,2.0,10.25,,Car,False,Friday,8.0,9.0,September,3.0,2.0,20.56,12.34,Mid,,0.0,0.0
AUC-47,Vehicles 8376,Vehicles,Car,Dubai,BuyNow,Closed,2025-09-28 00:00:00,2025-09-28 21:00:00,0.875,2025-11-08 12:00:00,47887.0,60082.87,60139.64,0.9991,18,7,455,0.2546801846012488,12195.87,22.125,2.571428571428572,25.27777777777778,,Car,False,Sunday,0.0,9.0,September,3.0,2.571428571428572,9.05,45.43,Mid,,0.0,60082.87
AUC-48,Vehicles 3527,Vehicles,Car,Dubai,Auction,Closed,2025-09-26 09:00:00,2025-09-29 02:00:00,2.708,2025-11-08 12:00:00,12471.0,16621.65,14291.4,1.1631,27,18,734,0.332824152032716,4150.65,36.35,1.5,27.185185185185187,,Car,False,Friday,9.0,9.0,September,3.0,1.5,11.99,47.19,Mid,,0.0,16621.65
AUC-49,Vehicles 1027,Vehicles,Car,Ras Al Khaimah,Auction,Closed,2025-10-04 01:00:00,2025-10-06 21:00:00,2.833,2025-11-08 12:00:00,152726.0,204834.54,178658.31,1.1465,8,5,82,0.3411897122952215,52108.54,7.3,1.6,10.25,,Car,False,Saturday,1.0,10.0,October,4.0,1.6,11.68,47.01,High,,0.0,204834.54
AUC-50,Vehicles 4999,Vehicles,Car,Ajman,Auction,Closed,2025-10-10 03:00:00,2025-10-10 18:00:00,0.773,2025-11-08 12:00:00,86503.0,162512.96,108560.59,1.497,72,24,1193,0.8786973862178189,76009.96,71.825,3.0,16.569444444444443,,Car,False,Friday,3.0,10.0,October,4.0,3.0,31.66,59.0,Mid,,0.0,162512.96
AUC-51,Vehicles 6576,Vehicles,Car,Umm Al Quwain,Auction,Closed,2025-09-24 00:00:00,2025-09-26 05:00:00,2.208,2025-11-08 12:00:00,28970.0,40274.71,36675.38,1.0981,54,22,1002,0.390221263375906,11304.71,57.55,2.4545454545454546,18.55555555555556,,Car,False,Wednesday,0.0,9.0,September,3.0,2.4545454545454546,14.84,48.9,Mid,,0.0,40274.71
AUC-52,Vehicles 4993,Vehicles,Car,Umm Al Quwain,Auction,Closed,2025-09-28 23:00:00,2025-10-01 18:00:00,2.792,2025-11-08 12:00:00,175596.0,251467.54,196930.2,1.2769,19,12,460,0.4320801157201759,75871.54,24.0,1.5833333333333333,24.210526315789476,,Car,False,Sunday,23.0,9.0,September,3.0,1.5833333333333333,15.04,49.02,High,,0.0,251467.54
AUC-53,Vehicles 9411,Vehicles,Car,Umm Al Quwain,Auction,Closed,2025-10-08 07:00:00,2025-10-08 19:00:00,0.5,2025-11-08 12:00:00,107509.0,208664.91,124899.17,1.6707,6,3,99,0.9409064357402636,101155.91,6.225,2.0,16.5,,Car,False,Wednesday,7.0,10.0,October,4.0,2.0,31.55,58.93,High,,0.0,208664.91
AUC-54,Vehicles 8321,Vehicles,Car,Abu Dhabi,Auction,Closed,2025-10-28 21:00:00,2025-10-31 03:00:00,2.25,2025-11-08 12:00:00,146284.0,311871.59,181317.7,1.72,27,18,433,1.131959681168139,165587.59,28.825,1.5,16.037037037037038,,Car,False,Tuesday,21.0,10.0,October,4.0,1.5,38.66,63.2,High,,0.0,311871.59
AUC-55,Vehicles 8089,Vehicles,Car,Abu Dhabi,Auction,Closed,2025-09-22 20:00:00,2025-09-25 15:00:00,2.792,2025-11-08 12:00:00,51484.0,73083.65,65576.25,1.1145,57,28,668,0.4195410224535777,21599.65,52.2,2.0357142857142856,11.719298245614034,,Car,False,Monday,20.0,9.0,September,3.0,2.0357142857142856,16.18,9.71,Mid,,0.0,0.0
AUC-56,Vehicles 1182,Vehicles,Car,Dubai,Auction,Closed,2025-09-29 02:00:00,2025-09-29 21:00:00,0.792,2025-11-08 12:00:00,23427.0,31072.43,27799.06,1.1178,30,14,712,0.3263512186793016,7645.43,36.3,2.142857142857143,23.73333333333333,,Car,False,Monday,2.0,9.0,September,3.0,2.142857142857143,11.81,47.09,Mid,,0.0,31072.43
AUC-57,Vehicles 8681,Vehicles,Car,Ras Al Khaimah,Auction,Closed,2025-10-16 01:00:00,2025-10-17 20:00:00,1.792,2025-11-08 12:00:00,27939.0,31711.66,34335.7,0.9236,41,28,859,0.1350320340742331,3772.66,48.975,1.4642857142857142,20.951219512195124,,Car,False,Thursday,1.0,10.0,October,4.0,1.4642857142857142,5.83,3.5,Mid,,0.0,0.0
AUC-58,Vehicles 7796,Vehicles,Car,Abu Dhabi,Auction,Closed,2025-10-15 01:00:00,2025-10-17 11:00:00,2.417,2025-11-08 12:00:00,196353.0,262678.86,238328.62,1.1022,13,10,356,0.3377888802310124,66325.86,17.9,1.3,27.384615384615383,,Car,False,Wednesday,1.0,10.0,October,4.0,1.3,11.67,47.0,High,,0.0,262678.86
AUC-59,Vehicles 4572,Vehicles,Car,Umm Al Quwain,Auction,Closed,2025-10-22 20:00:00,2025-10-23 22:00:00,1.083,2025-11-08 12:00:00,97997.0,202751.18,112197.96,1.8071,10,3,233,1.0689529271304223,104754.18,11.575,3.333333333333333,23.3,,Car,False,Wednesday,20.0,10.0,October,4.0,3.333333333333333,35.95,61.57,Mid,,0.0,202751.18
AUC-60,Vehicles 6305,Vehicles,Car,Ajman,Auction,Closed,2025-09-10 05:00:00,2025-09-11 01:00:00,0.948,2025-11-08 12:00:00,136857.0,180428.67,168897.9,1.0683,75,23,1809,0.3183737039391482,43571.67,88.475,3.260869565217391,24.12,,Car,False,Wednesday,5.0,9.0,September,3.0,3.260869565217391,12.83,47.7,High,,0.0,180428.67
AUC-61,Vehicles 8417,Vehicles,Car,Abu Dhabi,BuyNow,Closed,2025-09-15 11:00:00,2025-09-16 18:00:00,1.292,2025-11-08 12:00:00,107288.0,168330.67,125142.6,1.3451,37,31,380,0.5689608343896803,61042.67,35.75,1.1935483870967742,10.27027027027027,,Car,False,Monday,11.0,9.0,September,3.0,1.1935483870967742,20.38,12.23,High,,0.0,0.0
AUC-62,Vehicles 9155,Vehicles,Car,Sharjah,Auction,Closed,2025-10-03 15:00:00,2025-10-04 17:00:00,1.233,2025-11-08 12:00:00,16917.0,21239.95,20737.36,1.0242,83,31,902,0.2555388071171012,4322.95,71.8,2.677419354838709,10.867469879518072,,Car,False,Friday,15.0,10.0,October,4.0,2.677419354838709,10.88,46.53,Mid,,0.0,21239.95
AUC-63,Vehicles 5956,Vehicles,Car,Dubai,Auction,Closed,2025-10-11 21:00:00,2025-10-14 02:00:00,2.208,2025-11-08 12:00:00,57052.48,67010.8,69542.73,0.9636,47,33,664,0.1745466630022042,9958.32,48.35,1.4242424242424243,14.127659574468083,,Car,False,Saturday,21.0,10.0,October,4.0,1.4242424242424243,7.34,44.4,Mid,,0.0,67010.8
AUC-64,Vehicles 1372,Vehicles,Car,Abu Dhabi,Auction,Closed,2025-09-22 16:00:00,2025-09-23 21:00:00,1.208,2025-11-08 12:00:00,104619.0,222708.1,116925.33,1.9047,12,4,337,1.1287538592416293,118089.1,15.425,3.0,28.08333333333333,,Car,False,Monday,16.0,9.0,September,3.0,3.0,37.95,62.77,High,,0.0,222708.1
AUC-65,Vehicles 6566,Vehicles,Car,Dubai,Auction,Closed,2025-10-05 21:00:00,2025-10-07 02:00:00,1.208,2025-11-08 12:00:00,44220.0,80339.91,51172.29,1.57,6,2,81,0.8168229308005428,36119.91,5.525,3.0,13.5,,Car,False,Sunday,21.0,10.0,October,4.0,3.0,27.39,56.43,Mid,,0.0,80339.91
AUC-66,Vehicles 7119,Vehicles,Car,Fujairah,Auction,Closed,2025-09-07 15:00:00,2025-09-10 11:00:00,2.833,2025-11-08 12:00:00,163030.0,219336.32,185677.23,1.1813,52,20,537,0.345373980249034,56306.32,44.425,2.6,10.326923076923077,,Car,False,Sunday,15.0,9.0,September,3.0,2.6,13.38,48.03,High,,0.0,219336.32
AUC-67,Vehicles 1530,Vehicles,Car,Ajman,Auction,Closed,2025-11-02 06:00:00,2025-11-04 01:00:00,1.896,2025-11-08 12:00:00,184851.0,376276.29,238723.54,1.5762,86,33,959,1.0355653472256032,191425.29,75.225,2.606060606060606,11.151162790697674,,Car,False,Sunday,6.0,11.0,November,4.0,2.606060606060606,37.7,62.62,High,,0.0,376276.29
AUC-68,Vehicles 8354,Vehicles,Car,Ras Al Khaimah,Auction,Closed,2025-11-02 09:00:00,2025-11-05 04:00:00,2.89,2025-11-08 12:00:00,136253.0,165659.7,171313.2,0.967,70,34,1100,0.2158242387323582,29406.7,71.0,2.0588235294117645,15.714285714285714,,Car,False,Sunday,9.0,11.0,November,4.0,2.0588235294117645,9.73,45.84,High,,0.0,165659.7
AUC-69,Vehicles 2813,Vehicles,Car,Ajman,Auction,Closed,2025-10-01 23:00:00,2025-10-04 03:00:00,2.167,2025-11-08 12:00:00,77556.0,153205.14,98852.07,1.5498,18,10,194,0.9754131208417146,75649.14,16.35,1.8,10.77777777777778,,Car,False,Wednesday,23.0,10.0,October,4.0,1.8,33.2,59.92,Mid,,0.0,153205.14
AUC-70,Vehicles 9013,Vehicles,Car,Abu Dhabi,Auction,Closed,2025-10-23 14:00:00,2025-10-26 06:00:00,2.667,2025-11-08 12:00:00,114099.0,172926.25,140943.67,1.2269,31,13,427,0.5155807675790323,58827.25,29.425,2.3846153846153846,13.774193548387096,,Car,False,Thursday,14.0,10.0,October,4.0,2.3846153846153846,18.06,50.84,High,,0.0,172926.25
